cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49
I0,1,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,2,2,1,0,2,0,0,0,0
I1,1,0,2,0,2,2,0,1,1,0,0,0,0,2,2,0,0,2,1,1,0,2,2,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,2,0,1,2,2,1,0,2,0,0,0,1
I2,1,0,2,2,2,2,0,1,1,0,0,0,1,2,2,2,0,2,1,1,0,2,2,0,0,1,0,2,0,0,0,0,2,0,2,0,2,1,2,0,1,2,2,1,0,2,1,1,0,1
I3,1,0,2,2,2,2,0,1,1,2,2,0,1,2,2,2,0,2,1,1,0,2,2,0,0,1,0,2,0,0,1,0,2,1,2,2,2,1,2,0,1,2,2,1,0,2,1,1,0,1
216_10,1,0,2,2,2,2,0,1,1,2,2,0,1,2,2,2,0,2,1,1,0,2,2,0,0,1,0,2,0,0,1,0,2,1,2,2,2,1,2,0,1,2,2,1,0,2,1,1,0,1
216_9,1,0,2,2,2,2,0,1,1,2,2,0,1,2,2,2,0,2,1,1,2,2,2,0,0,1,0,2,0,0,1,0,2,1,2,2,2,1,2,0,1,2,2,1,0,2,1,1,0,1
I4,1,0,2,2,2,2,2,1,1,0,0,0,1,2,2,2,0,2,1,1,0,2,2,0,0,1,0,2,2,0,0,0,2,1,2,0,2,1,2,0,1,2,2,1,0,2,1,1,0,1
216_12,1,0,2,2,2,2,2,1,1,0,0,0,1,2,2,2,1,2,1,1,0,2,2,0,0,1,0,2,2,0,0,0,2,1,2,0,2,1,2,0,1,2,2,1,0,2,1,1,0,1
216_11,1,0,2,2,2,2,2,1,1,0,0,0,1,2,2,2,0,2,1,1,0,2,2,0,0,1,0,2,2,0,0,0,2,1,2,0,2,1,2,0,1,2,2,1,0,2,1,1,2,1
I5,1,2,2,2,2,2,1,1,1,0,0,2,0,2,2,0,0,2,1,1,0,2,2,0,0,1,0,2,1,0,0,0,2,0,0,1,1,1,2,0,1,2,2,1,2,2,0,1,0,1
I6,1,2,2,2,2,2,1,1,1,0,2,2,0,2,2,0,2,2,1,1,0,2,2,0,0,1,1,2,1,0,0,0,2,0,0,1,1,1,2,2,1,2,2,1,2,2,0,1,0,1
216_14,1,2,2,2,2,2,1,1,1,0,2,2,0,2,2,2,2,2,1,1,0,2,2,0,0,1,1,2,1,0,0,0,2,0,0,1,1,1,2,2,1,2,2,1,2,2,0,1,0,1
216_13,1,2,2,2,2,2,1,1,1,0,2,2,0,2,2,0,2,2,1,1,0,2,2,0,0,1,1,2,1,0,0,0,2,0,0,1,1,1,2,2,1,2,2,1,2,2,0,1,0,1
I7,1,2,2,2,2,2,1,1,1,0,0,2,0,2,2,0,2,2,1,1,0,2,2,0,0,1,0,2,1,0,0,2,2,0,0,1,1,1,2,0,1,2,2,1,2,2,0,1,0,1
216_16,1,2,2,2,2,2,1,1,1,0,0,2,1,2,2,0,2,2,1,1,0,2,2,0,0,1,0,2,1,0,0,2,2,0,0,1,1,1,2,0,1,2,2,1,2,2,1,1,0,1
216_15,1,2,2,2,2,2,1,1,1,0,0,2,2,2,2,2,2,2,1,1,0,2,2,0,2,1,0,2,1,0,0,2,2,0,0,1,1,1,2,0,1,2,2,1,2,2,0,1,0,1
I8,1,0,2,1,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,2,2,2,0,1,0,0,2,2,0,2,2,1,0,2,1,1,2,2,1,2,2,1,0,2,0,0,0,0
I9,1,1,2,1,0,2,0,0,0,0,0,0,1,2,2,1,0,0,0,1,2,2,2,2,0,1,2,0,2,2,0,2,2,1,0,2,1,1,2,2,1,2,2,1,0,2,0,0,1,2
216_2,1,1,2,1,0,2,0,2,2,0,0,0,1,2,2,1,0,0,2,1,2,2,2,2,0,1,2,0,2,2,0,2,2,1,0,2,1,1,2,2,1,2,2,1,2,2,0,0,1,2
I10,1,1,2,1,0,2,0,0,0,0,1,2,1,2,2,1,1,0,1,1,2,2,2,2,0,1,2,0,2,2,1,2,2,1,0,2,1,1,2,2,1,2,2,1,0,2,2,0,1,2
216_4,1,1,2,1,1,2,0,0,0,0,1,2,1,2,2,1,1,0,1,1,2,2,2,2,0,1,2,0,2,2,1,2,2,1,0,2,1,1,2,2,1,2,2,1,0,2,2,0,1,2
216_3,1,1,2,1,0,2,0,0,0,0,1,2,1,2,2,1,1,0,1,1,2,2,2,2,0,1,2,0,2,2,1,2,2,1,0,2,1,1,2,2,1,2,2,1,0,2,2,0,1,2
I11,1,0,2,1,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,2,2,2,0,1,0,0,2,2,0,2,2,1,0,2,1,1,2,2,1,2,2,1,2,2,0,0,0,0
I12,1,0,2,1,2,2,0,1,0,0,0,0,1,2,0,0,0,1,0,1,2,2,2,2,2,1,0,0,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,1,2,2,0,0,0,2
216_6,1,1,2,1,2,2,0,1,0,0,2,0,1,2,0,0,0,1,0,1,2,2,2,2,2,1,0,0,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,1,2,2,0,0,0,2
216_5,1,0,2,1,2,2,0,1,0,0,0,0,1,2,0,0,0,1,0,1,2,2,2,2,2,1,0,0,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,1,2,2,0,0,2,2
I13,1,0,2,1,0,2,1,0,1,0,0,0,1,2,0,0,0,0,1,1,2,2,2,2,1,1,0,0,2,2,1,2,2,1,0,2,1,1,2,2,1,2,2,1,2,2,2,1,0,0
216_8,1,0,2,1,0,2,1,0,1,0,0,0,1,2,0,0,0,0,1,1,2,2,2,2,1,1,0,0,2,2,1,2,2,1,0,2,1,1,2,2,1,2,2,1,2,2,2,1,0,0
216_7,1,2,2,1,0,2,1,0,1,0,2,0,1,2,0,0,0,0,1,1,2,2,2,2,1,1,0,0,2,2,1,2,2,1,0,2,1,1,2,2,1,2,2,1,2,2,2,1,1,0
Evolve tree: [&R] ((((216_7:21,216_8:21)I13:43,(216_5:19,216_6:19)I12:45)I11:45,((216_3:15,216_4:15)I10:45,216_2:60)I9:49)I8:49,(((216_15:18,216_16:18)I7:38,(216_13:7,216_14:7)I6:49)I5:45,((216_11:11,216_12:11)I4:39,(216_9:10,216_10:10)I3:40)I2:51)I1:57)I0:57;
