cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1,0,2,0,0,2,0,0,2,2,0,0,2,2,2,0,0,0,1,1,1,1,1,0,0,0,0,1,2,2,1,0,1,2,2,0,1,1,2,2,2,0,2,1,0,1,2,2,0,1,1
I2,0,2,1,0,2,0,1,2,2,0,0,2,2,2,0,2,0,1,1,1,1,1,0,0,0,0,1,2,2,1,0,1,2,2,0,1,1,2,2,2,0,2,1,2,1,2,2,2,1,1
216_4,0,2,1,0,2,0,1,2,2,0,0,2,2,2,0,2,0,1,1,1,1,1,0,0,0,0,1,2,2,1,0,1,2,2,0,1,1,2,2,2,0,2,1,2,1,2,2,2,1,1
216_3,0,2,1,0,2,0,1,2,2,0,0,2,2,2,0,2,0,1,1,1,1,1,0,0,0,0,1,2,2,1,0,1,2,2,0,1,1,2,2,2,0,2,1,2,1,2,2,2,1,1
I3,0,2,0,0,2,0,0,2,2,0,2,2,2,2,1,0,1,1,1,1,1,1,0,2,0,0,1,2,2,1,0,1,2,2,2,1,1,2,2,2,0,2,1,0,1,2,2,0,1,1
216_2,0,2,0,0,2,0,0,2,2,0,2,2,2,2,1,0,1,1,1,1,1,1,0,2,0,0,1,2,2,1,2,1,2,2,2,1,1,2,2,2,0,2,1,0,1,2,2,0,1,1
216_1,1,2,0,0,2,0,0,2,2,0,2,2,2,2,1,0,1,1,1,1,1,1,0,2,0,0,1,2,2,1,0,1,2,2,2,1,1,2,2,2,0,2,1,0,1,2,2,0,1,1
I4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
I5,2,0,0,0,1,0,0,1,0,2,0,0,2,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0
I6,2,1,0,1,1,0,2,1,0,2,0,0,2,2,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,2,0,2,0,0,0,2,0,0,1,1,0,1
I7,2,1,0,1,1,1,2,1,0,2,0,0,2,2,0,1,0,2,1,0,1,0,0,0,0,1,1,0,0,1,1,0,2,2,2,0,0,2,0,2,0,1,1,2,0,0,1,1,0,1
216_30,2,1,1,1,1,1,2,1,2,2,0,1,2,2,0,1,0,2,1,2,1,0,1,0,0,1,1,0,0,1,1,0,2,2,2,2,0,2,0,2,0,1,1,2,0,1,1,1,2,1
216_29,2,1,0,1,1,1,2,1,0,2,0,0,2,2,1,1,0,2,1,0,1,0,2,0,0,1,1,0,0,1,1,0,2,2,2,0,0,2,0,2,0,1,1,2,0,0,1,1,0,1
I8,2,1,0,1,1,0,2,1,0,2,0,2,2,2,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,2,0,2,0,0,2,2,0,2,1,1,0,1
I9,2,1,1,1,1,0,2,1,0,2,1,2,2,2,0,2,0,2,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,2,2,2,0,2,0,2,0,1,2,2,0,2,1,1,0,1
216_28,2,1,1,1,1,0,2,1,0,2,1,2,2,2,0,2,0,2,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,2,2,2,0,2,0,2,0,1,2,2,2,2,1,1,0,1
216_27,2,1,1,1,1,0,2,1,0,2,1,2,2,2,0,2,0,2,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,2,2,2,0,2,0,2,2,1,2,2,0,2,1,1,0,1
I10,2,1,1,1,1,0,2,1,1,2,0,2,2,2,0,0,0,2,1,2,1,0,2,0,0,1,1,0,0,1,1,0,0,2,2,0,0,2,0,2,0,0,2,2,0,2,1,1,2,1
216_26,2,1,1,1,1,0,2,1,1,2,0,2,2,2,0,0,0,2,1,2,1,0,2,2,0,1,1,0,0,1,1,0,0,2,2,0,0,2,0,2,0,0,2,2,0,2,1,1,2,1
216_25,2,1,1,1,1,0,2,1,1,2,0,2,2,2,0,0,0,2,1,2,1,0,2,0,0,1,1,1,0,1,1,0,0,2,2,0,0,2,0,2,0,0,2,2,0,2,1,1,2,1
I11,2,0,1,2,1,0,0,1,0,2,1,0,2,2,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,0
I12,2,0,1,2,1,1,0,1,0,2,1,0,2,2,1,0,1,2,2,0,1,0,0,2,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,2,0,0,2,2,0,0,1,1,2,0
216_24,2,0,1,2,1,1,2,1,0,2,1,0,2,2,1,0,1,2,2,0,1,0,0,2,0,0,1,0,0,1,0,0,1,2,0,0,2,0,0,2,0,1,2,2,0,0,1,1,2,0
216_23,2,0,1,2,1,1,2,1,0,2,1,0,2,2,1,0,1,2,2,0,1,0,0,2,2,0,1,1,1,1,0,1,1,2,0,0,0,0,2,2,0,1,2,2,1,0,1,1,2,1
I13,2,0,1,2,1,0,0,1,0,2,1,1,2,2,0,0,0,2,2,2,1,0,0,0,0,0,1,0,0,1,2,0,1,2,0,0,0,0,0,2,0,0,2,0,0,0,1,1,2,1
216_22,2,0,1,2,1,1,0,1,0,2,1,1,2,2,0,0,0,2,2,2,1,0,0,0,0,0,1,0,0,1,2,0,1,2,0,0,1,0,0,2,0,0,2,0,0,0,1,1,2,1
216_21,2,0,1,2,1,0,1,1,0,2,1,1,2,2,1,0,1,2,2,2,1,0,2,0,0,0,1,0,0,1,2,0,1,2,0,0,0,0,0,2,0,0,2,1,2,0,1,1,2,1
I14,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,2,2,2,0,0,0,0,2,2,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,2
I15,0,0,0,2,1,0,0,0,2,2,0,1,1,0,0,0,0,2,2,2,2,1,0,0,2,2,0,1,2,0,0,2,1,0,1,2,2,1,2,2,0,1,1,1,2,0,1,0,0,2
I16,0,0,0,2,1,1,0,0,2,2,0,1,1,0,2,0,0,2,2,2,2,1,0,0,2,2,1,1,2,0,0,2,1,0,1,2,2,1,2,2,0,1,1,1,2,1,1,1,1,2
I17,0,1,0,2,1,1,0,0,2,2,0,1,1,1,2,0,0,2,2,2,2,1,0,0,2,2,1,1,2,0,0,2,1,0,1,2,2,1,2,2,0,1,1,1,2,1,1,1,1,2
216_16,0,1,0,2,1,1,0,0,2,2,0,1,1,1,2,2,0,2,2,2,2,1,0,0,2,2,1,1,2,0,0,2,1,0,1,2,2,1,2,2,0,1,1,1,2,1,1,1,1,2
216_15,1,1,0,2,1,1,0,0,2,2,0,1,1,1,2,0,0,2,2,2,2,1,0,0,2,2,1,1,2,0,0,2,1,0,1,2,2,1,2,2,0,1,1,1,2,1,1,1,1,2
I18,0,0,0,2,1,1,0,0,2,2,0,1,1,0,2,2,1,2,2,2,2,1,0,0,2,2,1,1,2,0,0,2,1,0,1,2,2,1,2,2,0,1,1,1,2,1,1,1,1,2
216_14,0,2,0,2,1,1,0,0,2,2,0,1,1,0,2,2,1,2,2,2,2,1,0,0,2,2,1,1,2,0,0,2,1,0,1,2,2,1,2,2,0,1,1,1,2,1,1,1,1,2
216_13,0,0,0,2,1,1,0,0,2,2,0,1,1,0,2,2,1,2,2,2,2,1,0,0,2,2,1,1,2,0,0,2,1,1,1,2,2,1,2,2,0,1,1,1,2,1,1,1,1,2
I19,0,0,0,2,1,0,0,0,2,2,0,1,1,0,1,2,0,2,2,2,2,1,0,0,2,2,2,1,2,0,0,2,1,0,1,2,2,1,2,2,1,1,1,1,2,0,1,0,0,2
216_17,0,2,1,2,1,0,0,0,2,2,0,1,1,0,1,2,0,2,2,2,2,1,0,0,2,2,2,1,2,0,0,2,1,0,1,2,2,1,2,2,1,1,1,1,2,0,1,0,0,2
I20,0,0,0,2,1,1,1,0,2,2,0,1,1,0,1,2,0,2,2,2,2,1,0,0,2,2,2,1,2,0,0,2,1,0,1,2,2,1,2,2,1,1,1,1,2,0,1,0,0,2
216_20,0,0,0,2,1,1,1,0,2,2,0,1,1,0,1,2,0,2,2,2,2,1,0,0,2,2,2,1,2,0,0,2,1,0,1,2,2,1,2,2,1,1,1,1,2,0,1,0,0,2
216_19,1,0,0,2,1,1,1,0,2,2,0,1,1,0,1,2,0,2,2,2,2,1,0,0,2,2,2,1,2,0,0,2,1,0,1,2,2,1,2,2,1,1,1,1,2,0,1,1,0,2
I21,0,0,0,2,1,0,0,0,2,2,0,0,1,0,0,0,0,2,2,2,0,0,0,1,2,2,0,0,2,0,0,2,1,0,2,0,0,1,0,0,0,1,1,1,2,0,1,0,0,2
I22,0,0,0,2,1,0,0,0,2,2,0,0,1,0,0,0,0,2,2,2,2,2,0,1,2,2,0,2,2,0,0,2,1,0,2,0,1,1,0,0,0,1,1,1,2,0,1,0,0,2
I23,0,0,0,2,1,0,0,0,2,2,0,1,1,0,0,0,0,2,2,2,2,2,1,1,2,2,0,2,2,0,0,2,1,1,2,0,1,1,0,0,0,1,1,1,2,0,1,0,0,2
216_8,0,0,0,2,1,0,0,0,2,2,0,1,1,0,0,0,0,2,2,2,2,2,1,1,2,2,0,2,2,0,0,2,1,1,2,0,1,1,0,0,0,1,1,1,2,0,1,0,0,2
216_7,0,0,0,2,1,0,0,0,2,2,0,1,1,0,0,0,0,2,2,2,2,2,1,1,2,2,0,2,2,0,0,2,1,1,2,0,1,1,0,0,0,1,1,1,2,0,1,0,0,2
I24,0,0,0,2,1,2,0,0,2,2,0,0,1,0,0,1,0,2,2,2,2,2,0,1,2,2,0,2,2,0,0,2,1,0,2,0,1,1,1,0,0,1,1,1,2,0,1,0,0,2
216_6,0,2,0,2,1,2,0,0,2,2,0,0,1,0,0,1,0,2,2,2,2,2,0,1,2,2,0,2,2,0,0,2,1,0,2,0,1,1,1,0,0,1,1,1,2,0,1,0,0,2
216_5,1,0,1,2,1,2,0,0,2,2,0,0,1,0,0,1,0,2,2,2,2,2,0,1,2,2,0,2,2,0,0,2,1,0,2,0,1,1,1,0,0,1,1,1,2,0,1,0,0,2
I25,0,0,0,2,1,1,0,1,2,2,1,1,1,0,0,0,2,2,2,2,0,1,1,1,2,2,2,0,2,2,0,2,1,0,2,0,0,1,0,0,0,1,1,1,2,0,1,2,0,2
216_9,2,2,0,2,1,1,0,1,2,2,1,1,1,0,2,0,2,2,2,2,0,1,1,1,2,2,2,0,2,2,0,2,1,0,2,0,0,1,2,0,0,1,1,1,2,2,1,2,0,2
216_12,0,0,0,2,1,1,0,1,2,2,1,1,1,0,1,0,2,2,2,2,1,1,1,1,2,2,2,0,2,2,0,2,1,0,2,0,0,1,2,1,0,1,1,1,2,0,1,2,1,2
