cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49
I0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
I1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,2,1,2,0,0,2,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
I2,1,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,2,1,2,0,1,2,1,2,1,0,0,1,2,1,0,2,0,2,0,0,0,0,0,0,0,2,0,0
I3,1,2,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,2,2,1,2,0,1,2,1,2,1,0,0,1,2,1,0,2,0,2,2,0,0,0,0,0,2,2,0,0
I4,1,2,2,2,2,1,1,1,1,1,1,0,1,1,0,0,2,1,1,1,1,2,2,1,2,0,1,2,1,2,1,2,1,1,2,1,0,2,0,2,2,2,2,0,0,0,2,2,0,0
216_24,1,2,2,2,2,1,1,1,1,1,1,0,1,1,0,0,2,1,1,1,1,2,2,1,2,0,1,2,1,2,1,2,1,1,2,1,0,2,0,2,2,2,2,0,0,0,2,2,0,0
216_23,1,2,2,2,2,1,1,1,1,1,1,0,1,1,0,0,2,1,1,1,1,2,2,1,2,0,1,2,1,2,1,2,1,1,2,1,0,2,0,2,2,2,2,0,0,0,2,2,0,0
I5,1,2,2,2,0,1,2,0,1,1,0,0,2,0,2,0,0,1,0,1,1,2,2,1,2,0,1,2,1,2,1,2,0,1,2,1,0,2,2,2,2,1,0,0,0,0,2,2,0,0
216_22,1,2,2,2,0,1,2,0,1,1,0,0,2,0,2,0,0,1,0,1,1,2,2,1,2,0,1,2,1,2,1,2,0,1,2,1,0,2,2,2,2,1,0,0,0,0,2,2,0,0
216_21,1,2,2,2,0,1,2,0,1,1,0,1,2,0,2,0,0,1,0,1,1,2,2,1,2,0,1,2,1,2,1,2,0,1,2,1,0,2,2,2,2,1,0,0,0,0,2,2,0,0
I6,1,2,2,2,0,1,2,0,1,1,0,2,0,0,0,2,0,1,2,1,0,2,2,1,2,0,1,2,1,2,1,0,0,1,2,1,0,2,2,2,0,0,1,0,1,0,2,2,0,0
I7,1,2,2,2,0,1,2,0,1,1,0,2,0,0,1,2,0,1,2,1,0,2,2,1,2,0,1,2,1,2,1,0,0,1,2,1,1,2,2,2,0,0,1,0,1,0,2,2,0,0
216_20,1,2,2,2,0,1,2,1,1,1,0,2,0,0,1,2,0,1,2,1,0,2,2,1,2,0,1,2,1,2,1,0,0,1,2,1,1,2,2,2,0,0,1,0,1,0,2,2,0,0
216_19,1,2,2,2,0,1,2,0,1,1,0,2,2,0,1,2,0,1,2,1,0,2,2,1,2,0,1,2,1,2,1,0,0,1,2,1,1,2,2,2,0,0,1,0,1,0,2,2,0,0
I8,1,2,2,2,2,1,2,0,1,1,2,2,0,0,0,2,0,1,2,1,0,2,2,1,2,0,1,2,1,2,1,0,0,1,2,1,0,2,2,2,0,2,1,2,1,0,2,2,0,0
216_18,1,2,2,2,2,1,2,0,1,1,2,2,0,0,1,2,0,1,2,1,0,2,2,1,2,0,1,2,1,2,1,0,0,1,2,1,0,2,2,2,0,2,1,2,1,0,2,2,0,0
216_17,1,2,2,2,2,1,2,0,1,1,2,2,0,0,0,2,2,1,2,1,1,2,2,1,2,0,1,2,1,2,1,0,1,1,2,1,0,2,2,2,0,2,1,2,1,2,2,2,0,0
I9,1,0,1,0,0,1,1,1,1,1,1,0,0,2,0,0,1,1,0,1,0,2,2,1,2,0,0,2,0,0,1,0,1,1,2,0,0,2,0,0,0,0,0,2,1,1,0,2,0,0
I10,1,0,1,0,0,1,1,1,1,1,1,0,0,2,0,0,1,1,0,1,2,2,2,1,2,0,0,2,0,0,1,0,1,1,2,0,0,2,0,1,0,0,1,2,1,1,0,2,0,0
I11,1,2,1,0,0,1,1,1,1,1,1,0,2,2,0,1,1,1,0,1,2,2,2,1,2,0,0,2,0,1,1,0,1,1,2,0,0,2,0,1,0,0,1,2,1,1,1,2,0,0
216_28,1,2,1,2,0,1,1,1,1,1,1,0,2,2,0,1,1,1,0,1,2,2,2,1,2,0,0,2,0,1,1,0,1,1,2,0,0,2,1,1,0,0,1,2,1,1,1,2,0,0
216_27,1,2,1,0,1,1,1,1,1,1,1,0,2,2,0,1,1,1,0,1,2,2,2,1,2,0,0,2,0,1,1,0,1,1,2,0,0,2,0,1,0,0,1,2,1,1,1,2,0,0
I12,1,0,1,2,0,1,1,1,1,1,1,1,0,2,1,0,1,1,0,1,2,2,2,1,2,2,0,2,0,0,1,0,1,1,2,0,0,2,0,1,0,0,1,2,1,1,0,2,1,0
216_26,1,0,1,2,0,1,1,1,1,1,1,1,0,2,1,0,1,1,0,1,2,2,2,1,2,2,0,2,0,0,1,0,1,1,2,0,2,2,0,1,1,0,1,2,1,1,0,2,1,2
216_25,1,0,1,2,0,1,1,1,1,1,1,1,0,2,1,0,1,1,0,1,2,2,2,1,2,2,0,2,1,0,1,0,1,1,2,0,0,2,0,1,0,0,1,2,1,1,0,2,1,0
I13,1,0,1,0,0,1,1,1,1,1,1,0,0,2,0,0,1,1,0,1,1,2,2,1,2,0,0,2,0,0,1,0,1,1,2,0,0,2,0,1,0,0,2,2,1,1,0,2,0,1
I14,1,0,1,0,2,1,1,1,1,1,1,0,0,2,0,0,1,1,0,1,1,2,2,1,2,0,0,2,0,0,1,0,1,1,2,0,0,2,1,1,0,2,2,2,1,1,2,2,0,1
216_32,1,0,1,0,2,1,1,1,1,1,1,0,0,2,0,0,1,1,0,1,1,2,2,1,2,0,0,2,0,0,1,0,1,1,2,0,0,2,1,1,0,2,2,2,1,1,2,2,0,1
216_31,1,0,1,0,2,1,1,1,1,1,1,0,0,2,0,0,1,1,0,1,1,2,2,1,2,1,0,2,0,0,1,0,1,1,2,0,0,2,1,1,0,2,2,2,1,1,2,2,0,1
I15,1,1,1,0,2,1,1,1,1,1,1,0,0,2,1,0,1,1,0,1,1,2,2,1,2,0,0,2,0,0,1,1,1,1,2,0,0,2,0,1,1,0,2,2,1,1,2,2,0,1
216_30,1,1,1,0,2,1,1,1,1,1,1,0,0,2,1,0,1,1,0,1,1,2,2,1,2,0,0,2,0,0,1,1,1,1,2,0,0,2,0,1,1,0,2,2,1,1,2,2,0,1
216_29,1,1,1,0,2,1,1,1,1,1,1,0,0,2,1,0,1,1,0,1,1,2,2,1,2,0,0,2,0,0,1,1,1,1,2,0,2,2,0,1,1,0,2,2,1,1,2,2,0,1
I16,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0
I17,0,0,1,0,0,0,2,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,2,0,0,0,2,2,0,0,0,0,1,2,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0
I18,0,0,1,0,0,0,2,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,2,0,0,0,2,2,0,0,1,0,1,2,1,0,2,0,0,0,1,0,1,0,1,0,2,0,0
I19,1,0,1,0,0,1,2,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,2,0,0,0,2,2,0,2,1,1,1,2,1,0,2,0,0,0,1,0,1,2,1,0,2,0,1
216_14,1,0,1,0,0,1,2,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,2,0,0,0,2,2,0,2,1,1,1,2,1,0,2,0,0,0,1,0,1,2,1,0,2,0,1
216_13,1,1,1,0,0,1,2,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,2,0,0,0,2,2,0,2,1,1,1,2,1,0,2,0,0,0,1,0,1,2,1,0,2,0,1
I20,0,0,1,0,0,1,2,1,1,0,0,2,1,1,0,1,0,2,1,1,0,1,1,2,0,0,0,2,2,0,1,1,0,1,2,1,0,2,0,2,0,1,0,1,1,1,0,2,0,0
216_16,0,0,1,0,0,1,2,1,1,2,0,2,1,1,0,1,0,2,1,1,0,1,1,2,0,0,0,2,2,0,1,1,0,1,2,1,0,2,0,2,0,1,0,1,1,1,0,2,0,0
216_15,2,0,1,0,0,1,2,1,1,2,1,2,1,1,0,1,0,2,1,1,0,1,1,2,2,0,0,2,2,0,1,1,0,1,2,1,0,2,0,2,0,1,0,1,1,1,0,2,0,0
I21,0,0,1,2,0,2,2,1,1,0,0,1,1,0,0,1,0,1,1,1,2,1,2,2,0,0,0,2,2,0,2,0,0,1,2,1,2,2,0,0,1,1,2,1,1,0,0,2,0,0
I22,0,0,1,2,1,2,2,1,1,0,0,1,1,0,2,1,0,1,1,1,2,1,2,2,0,0,0,2,2,0,2,0,1,1,2,1,2,2,0,0,1,1,2,1,1,0,0,2,0,0
216_12,0,0,1,2,1,2,2,1,1,0,0,1,1,0,2,1,0,1,1,1,2,1,2,2,0,0,0,2,2,0,2,0,1,1,2,1,2,2,0,0,1,1,2,1,1,0,0,2,0,0
216_11,0,0,1,2,1,2,2,1,1,0,0,1,1,0,2,1,0,1,1,1,2,1,2,2,0,0,0,2,2,0,2,0,1,1,2,1,2,2,0,0,1,1,2,1,1,0,0,2,0,1
I23,0,0,1,2,0,2,2,1,1,0,0,1,1,0,0,1,0,1,1,1,2,1,2,2,0,0,1,2,2,0,2,0,0,1,2,1,2,2,2,0,1,1,2,1,1,0,0,2,0,0
