cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49
I0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1,1,0,0,2,2,0,0,2,0,0,0,0,0,0,1,0,0
I1,2,0,2,2,0,2,1,0,1,1,1,1,1,0,1,0,2,1,1,0,0,1,0,0,0,1,2,0,1,1,2,0,1,1,1,0,2,2,2,2,2,2,2,2,1,0,1,1,2,0
216_4,2,1,2,2,0,2,1,0,1,1,1,1,1,0,1,0,2,1,1,0,0,1,2,0,1,1,2,0,1,1,2,0,1,1,1,0,2,2,2,2,2,2,2,2,1,0,1,1,2,0
216_3,2,0,2,2,2,2,1,0,1,1,1,1,1,0,1,0,2,1,1,0,0,1,2,0,0,1,2,0,1,1,2,0,1,1,1,0,2,2,2,2,2,2,2,2,1,0,1,1,2,0
I2,2,0,1,2,1,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,2,1,1,0,0,0,2,1,0,0,2,0,1,1,0,2,2,2,0,0,2,0,0,1,0,0,1,1,2,0
I3,2,0,1,2,1,0,1,2,2,1,2,1,2,0,1,2,1,0,0,1,2,1,1,0,0,0,2,1,0,0,2,0,1,1,1,2,2,2,0,2,2,2,0,1,0,0,1,1,2,0
I4,2,0,1,2,1,0,1,2,2,1,2,1,2,1,1,2,1,0,0,1,2,1,1,0,0,0,2,1,1,1,2,0,1,1,1,2,2,2,0,2,2,2,0,1,0,0,1,1,2,1
216_12,2,0,1,2,1,0,1,2,2,1,2,1,2,1,1,2,1,0,0,1,2,1,1,0,0,0,2,1,1,1,2,1,1,1,1,2,2,2,0,2,2,2,0,1,0,0,1,1,2,1
216_11,2,0,1,2,1,0,1,2,2,1,2,1,2,1,1,2,1,0,0,1,2,1,1,0,0,0,2,1,1,1,2,0,1,1,1,2,2,2,0,2,2,2,0,1,0,0,1,1,2,1
I5,2,0,1,2,1,0,1,2,2,1,2,1,2,0,1,2,1,0,0,1,2,1,1,0,2,2,2,1,1,0,2,2,1,1,1,2,2,2,0,2,2,2,2,1,0,0,1,1,2,0
216_10,2,0,1,2,1,0,1,2,2,1,2,1,2,0,1,2,1,0,0,1,2,1,1,0,2,2,2,1,1,0,2,2,1,1,1,2,2,2,0,2,2,2,2,1,0,0,1,1,2,0
216_9,2,0,1,2,1,0,1,2,2,1,2,1,2,0,1,2,1,0,1,1,2,1,1,0,2,2,2,1,1,0,2,2,1,1,1,2,2,2,0,2,2,2,2,1,0,0,1,1,2,0
I6,2,0,1,2,1,0,1,0,0,1,0,0,2,0,1,2,2,0,0,1,2,1,1,0,0,2,2,1,2,0,2,0,1,1,0,2,2,2,1,0,2,2,0,1,0,0,1,1,2,1
I7,2,0,1,2,1,0,1,0,0,1,0,0,2,0,1,2,2,0,0,1,2,1,1,0,2,2,2,1,2,1,2,0,1,1,1,2,2,2,1,0,2,2,0,1,0,0,1,1,2,1
216_6,2,0,1,2,1,0,1,0,0,1,0,0,2,0,1,2,2,1,0,1,2,1,1,0,2,2,2,1,2,1,2,0,1,1,1,2,2,2,1,0,2,2,0,1,0,0,1,1,2,1
216_5,2,0,1,2,1,0,1,0,0,1,0,0,2,0,1,2,2,0,0,1,2,1,1,0,2,2,2,1,2,1,2,0,1,1,1,2,2,2,1,0,2,2,0,1,0,0,1,1,2,1
I8,2,0,1,2,1,0,1,0,0,1,0,0,2,0,1,2,2,0,0,1,2,1,1,1,0,2,2,1,2,1,2,2,1,1,0,2,2,2,1,1,2,2,0,1,1,0,1,1,2,1
216_8,2,0,1,2,1,0,1,0,0,1,0,0,2,0,1,2,2,0,0,1,2,1,1,1,0,2,2,1,2,1,2,2,1,1,0,2,2,2,1,1,2,2,0,1,1,0,1,1,2,1
216_7,2,0,1,2,1,2,1,0,0,1,2,0,2,0,1,2,2,0,0,1,2,1,1,1,0,2,2,1,2,1,2,2,1,1,0,2,2,2,1,1,2,2,0,1,1,0,1,1,2,1
Evolve tree: [&R] ((((216_7:14,216_8:14)I8:35,(216_5:8,216_6:8)I7:41)I6:48,((216_9:14,216_10:14)I5:35,(216_11:14,216_12:14)I4:35)I3:48)I2:49,(216_3:23,216_4:23)I1:123)I0:69;
